agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2020-11-15 00:00,EST,250,P,2.79,P
USGS,02085070,2020-11-15 00:15,EST,250,P,2.79,P
USGS,02085070,2020-11-15 00:30,EST,250,P,2.79,P
USGS,02085070,2020-11-15 00:45,EST,250,P,2.79,P
USGS,02085070,2020-11-15 01:00,EST,247,P,2.78,P
USGS,02085070,2020-11-15 01:15,EST,247,P,2.78,P
USGS,02085070,2020-11-15 01:30,EST,244,P,2.77,P
USGS,02085070,2020-11-15 01:45,EST,244,P,2.77,P
USGS,02085070,2020-11-15 02:00,EST,244,P,2.77,P
USGS,02085070,2020-11-15 02:15,EST,241,P,2.76,P
USGS,02085070,2020-11-15 02:30,EST,236,P,2.74,P
USGS,02085070,2020-11-15 02:45,EST,238,P,2.75,P
USGS,02085070,2020-11-15 03:00,EST,236,P,2.74,P
USGS,02085070,2020-11-15 03:15,EST,236,P,2.74,P
USGS,02085070,2020-11-15 03:30,EST,236,P,2.74,P
USGS,02085070,2020-11-15 03:45,EST,233,P,2.73,P
USGS,02085070,2020-11-15 04:00,EST,230,P,2.72,P
USGS,02085070,2020-11-15 04:15,EST,230,P,2.72,P
USGS,02085070,2020-11-15 04:30,EST,230,P,2.72,P
USGS,02085070,2020-11-15 04:45,EST,230,P,2.72,P
USGS,02085070,2020-11-15 05:00,EST,227,P,2.71,P
USGS,02085070,2020-11-15 05:15,EST,227,P,2.71,P
USGS,02085070,2020-11-15 05:30,EST,225,P,2.70,P
USGS,02085070,2020-11-15 05:45,EST,225,P,2.70,P
USGS,02085070,2020-11-15 06:00,EST,222,P,2.69,P
USGS,02085070,2020-11-15 06:15,EST,225,P,2.70,P
USGS,02085070,2020-11-15 06:30,EST,222,P,2.69,P
USGS,02085070,2020-11-15 06:45,EST,219,P,2.68,P
USGS,02085070,2020-11-15 07:00,EST,219,P,2.68,P
USGS,02085070,2020-11-15 07:15,EST,217,P,2.67,P
USGS,02085070,2020-11-15 07:30,EST,217,P,2.67,P
USGS,02085070,2020-11-15 07:45,EST,217,P,2.67,P
USGS,02085070,2020-11-15 08:00,EST,214,P,2.66,P
USGS,02085070,2020-11-15 08:15,EST,214,P,2.66,P
USGS,02085070,2020-11-15 08:30,EST,214,P,2.66,P
USGS,02085070,2020-11-15 08:45,EST,212,P,2.65,P
USGS,02085070,2020-11-15 09:00,EST,209,P,2.64,P
USGS,02085070,2020-11-15 09:15,EST,209,P,2.64,P
USGS,02085070,2020-11-15 09:30,EST,209,P,2.64,P
USGS,02085070,2020-11-15 09:45,EST,209,P,2.64,P
USGS,02085070,2020-11-15 10:00,EST,209,P,2.64,P
USGS,02085070,2020-11-15 10:15,EST,206,P,2.63,P
USGS,02085070,2020-11-15 10:30,EST,206,P,2.63,P
USGS,02085070,2020-11-15 10:45,EST,204,P,2.62,P
USGS,02085070,2020-11-15 11:00,EST,204,P,2.62,P
USGS,02085070,2020-11-15 11:15,EST,204,P,2.62,P
USGS,02085070,2020-11-15 11:30,EST,201,P,2.61,P
USGS,02085070,2020-11-15 11:45,EST,204,P,2.62,P
USGS,02085070,2020-11-15 12:00,EST,201,P,2.61,P
USGS,02085070,2020-11-15 12:15,EST,199,P,2.60,P
USGS,02085070,2020-11-15 12:30,EST,197,P,2.59,P
USGS,02085070,2020-11-15 12:45,EST,197,P,2.59,P
USGS,02085070,2020-11-15 13:00,EST,199,P,2.60,P
USGS,02085070,2020-11-15 13:15,EST,197,P,2.59,P
USGS,02085070,2020-11-15 13:30,EST,194,P,2.58,P
USGS,02085070,2020-11-15 13:45,EST,194,P,2.58,P
USGS,02085070,2020-11-15 14:00,EST,194,P,2.58,P
USGS,02085070,2020-11-15 14:15,EST,192,P,2.57,P
USGS,02085070,2020-11-15 14:30,EST,189,P,2.56,P
USGS,02085070,2020-11-15 14:45,EST,192,P,2.57,P
USGS,02085070,2020-11-15 15:00,EST,192,P,2.57,P
USGS,02085070,2020-11-15 15:15,EST,192,P,2.57,P
USGS,02085070,2020-11-15 15:30,EST,189,P,2.56,P
USGS,02085070,2020-11-15 15:45,EST,189,P,2.56,P
USGS,02085070,2020-11-15 16:00,EST,189,P,2.56,P
USGS,02085070,2020-11-15 16:15,EST,189,P,2.56,P
USGS,02085070,2020-11-15 16:30,EST,187,P,2.55,P
USGS,02085070,2020-11-15 16:45,EST,187,P,2.55,P
USGS,02085070,2020-11-15 17:00,EST,185,P,2.54,P
USGS,02085070,2020-11-15 17:15,EST,185,P,2.54,P
USGS,02085070,2020-11-15 17:30,EST,185,P,2.54,P
USGS,02085070,2020-11-15 17:45,EST,183,P,2.53,P
USGS,02085070,2020-11-15 18:00,EST,183,P,2.53,P
USGS,02085070,2020-11-15 18:15,EST,183,P,2.53,P
USGS,02085070,2020-11-15 18:30,EST,183,P,2.53,P
USGS,02085070,2020-11-15 18:45,EST,180,P,2.52,P
USGS,02085070,2020-11-15 19:00,EST,183,P,2.53,P
USGS,02085070,2020-11-15 19:15,EST,183,P,2.53,P
USGS,02085070,2020-11-15 19:30,EST,180,P,2.52,P
USGS,02085070,2020-11-15 19:45,EST,178,P,2.51,P
USGS,02085070,2020-11-15 20:00,EST,178,P,2.51,P
USGS,02085070,2020-11-15 20:15,EST,178,P,2.51,P
USGS,02085070,2020-11-15 20:30,EST,178,P,2.51,P
USGS,02085070,2020-11-15 20:45,EST,178,P,2.51,P
USGS,02085070,2020-11-15 21:00,EST,178,P,2.51,P
USGS,02085070,2020-11-15 21:15,EST,176,P,2.50,P
USGS,02085070,2020-11-15 21:30,EST,176,P,2.50,P
USGS,02085070,2020-11-15 21:45,EST,176,P,2.50,P
USGS,02085070,2020-11-15 22:00,EST,176,P,2.50,P
USGS,02085070,2020-11-15 22:15,EST,174,P,2.49,P
USGS,02085070,2020-11-15 22:30,EST,174,P,2.49,P
USGS,02085070,2020-11-15 22:45,EST,174,P,2.49,P
USGS,02085070,2020-11-15 23:00,EST,171,P,2.48,P
USGS,02085070,2020-11-15 23:15,EST,174,P,2.49,P
USGS,02085070,2020-11-15 23:30,EST,171,P,2.48,P
USGS,02085070,2020-11-15 23:45,EST,169,P,2.47,P
USGS,02085070,2020-11-16 00:00,EST,171,P,2.48,P
USGS,02085070,2020-11-16 00:15,EST,169,P,2.47,P
USGS,02085070,2020-11-16 00:30,EST,169,P,2.47,P
USGS,02085070,2020-11-16 00:45,EST,169,P,2.47,P
USGS,02085070,2020-11-16 01:00,EST,169,P,2.47,P
USGS,02085070,2020-11-16 01:15,EST,167,P,2.46,P
USGS,02085070,2020-11-16 01:30,EST,167,P,2.46,P
USGS,02085070,2020-11-16 01:45,EST,167,P,2.46,P
USGS,02085070,2020-11-16 02:00,EST,165,P,2.45,P
USGS,02085070,2020-11-16 02:15,EST,165,P,2.45,P
USGS,02085070,2020-11-16 02:30,EST,165,P,2.45,P
USGS,02085070,2020-11-16 02:45,EST,165,P,2.45,P
USGS,02085070,2020-11-16 03:00,EST,163,P,2.44,P
USGS,02085070,2020-11-16 03:15,EST,165,P,2.45,P
USGS,02085070,2020-11-16 03:30,EST,163,P,2.44,P
USGS,02085070,2020-11-16 03:45,EST,163,P,2.44,P
USGS,02085070,2020-11-16 04:00,EST,163,P,2.44,P
USGS,02085070,2020-11-16 04:15,EST,161,P,2.43,P
USGS,02085070,2020-11-16 04:30,EST,161,P,2.43,P
USGS,02085070,2020-11-16 04:45,EST,161,P,2.43,P
USGS,02085070,2020-11-16 05:00,EST,161,P,2.43,P
USGS,02085070,2020-11-16 05:15,EST,161,P,2.43,P
USGS,02085070,2020-11-16 05:30,EST,159,P,2.42,P
USGS,02085070,2020-11-16 05:45,EST,159,P,2.42,P
USGS,02085070,2020-11-16 06:00,EST,159,P,2.42,P
USGS,02085070,2020-11-16 06:15,EST,159,P,2.42,P
USGS,02085070,2020-11-16 06:30,EST,159,P,2.42,P
USGS,02085070,2020-11-16 06:45,EST,159,P,2.42,P
USGS,02085070,2020-11-16 07:00,EST,159,P,2.42,P
USGS,02085070,2020-11-16 07:15,EST,157,P,2.41,P
USGS,02085070,2020-11-16 07:30,EST,157,P,2.41,P
USGS,02085070,2020-11-16 07:45,EST,157,P,2.41,P
USGS,02085070,2020-11-16 08:00,EST,157,P,2.41,P
USGS,02085070,2020-11-16 08:15,EST,155,P,2.40,P
USGS,02085070,2020-11-16 08:30,EST,155,P,2.40,P
USGS,02085070,2020-11-16 08:45,EST,155,P,2.40,P
USGS,02085070,2020-11-16 09:00,EST,155,P,2.40,P
USGS,02085070,2020-11-16 09:15,EST,155,P,2.40,P
USGS,02085070,2020-11-16 09:30,EST,155,P,2.40,P
USGS,02085070,2020-11-16 09:45,EST,155,P,2.40,P
USGS,02085070,2020-11-16 10:00,EST,155,P,2.40,P
USGS,02085070,2020-11-16 10:15,EST,153,P,2.39,P
USGS,02085070,2020-11-16 10:30,EST,153,P,2.39,P
USGS,02085070,2020-11-16 10:45,EST,153,P,2.39,P
USGS,02085070,2020-11-16 11:00,EST,153,P,2.39,P
USGS,02085070,2020-11-16 11:15,EST,153,P,2.39,P
USGS,02085070,2020-11-16 11:30,EST,151,P,2.38,P
USGS,02085070,2020-11-16 11:45,EST,151,P,2.38,P
USGS,02085070,2020-11-16 12:00,EST,151,P,2.38,P
USGS,02085070,2020-11-16 12:15,EST,151,P,2.38,P
USGS,02085070,2020-11-16 12:30,EST,151,P,2.38,P
USGS,02085070,2020-11-16 12:45,EST,151,P,2.38,P
USGS,02085070,2020-11-16 13:00,EST,151,P,2.38,P
USGS,02085070,2020-11-16 13:15,EST,149,P,2.37,P
USGS,02085070,2020-11-16 13:30,EST,149,P,2.37,P
USGS,02085070,2020-11-16 13:45,EST,149,P,2.37,P
USGS,02085070,2020-11-16 14:00,EST,149,P,2.37,P
USGS,02085070,2020-11-16 14:15,EST,149,P,2.37,P
USGS,02085070,2020-11-16 14:30,EST,149,P,2.37,P
USGS,02085070,2020-11-16 14:45,EST,149,P,2.37,P
USGS,02085070,2020-11-16 15:00,EST,147,P,2.36,P
USGS,02085070,2020-11-16 15:15,EST,147,P,2.36,P
USGS,02085070,2020-11-16 15:30,EST,147,P,2.36,P
USGS,02085070,2020-11-16 15:45,EST,145,P,2.35,P
USGS,02085070,2020-11-16 16:00,EST,147,P,2.36,P
USGS,02085070,2020-11-16 16:15,EST,145,P,2.35,P
USGS,02085070,2020-11-16 16:30,EST,145,P,2.35,P
USGS,02085070,2020-11-16 16:45,EST,145,P,2.35,P
USGS,02085070,2020-11-16 17:00,EST,143,P,2.34,P
USGS,02085070,2020-11-16 17:15,EST,145,P,2.35,P
USGS,02085070,2020-11-16 17:30,EST,145,P,2.35,P
USGS,02085070,2020-11-16 17:45,EST,145,P,2.35,P
USGS,02085070,2020-11-16 18:00,EST,145,P,2.35,P
USGS,02085070,2020-11-16 18:15,EST,143,P,2.34,P
